Name,ScripCode,
DOLPHIN,18136,
AARTIIND,7,
ABB,13,
STYRENIX,19,
ACC,22,
ADANIENT,25,
ADORWELD,34,
AEGISCHEM,40,
HAPPSTMNDS,48,
ALEMBICLTD,79,
ARE&M,100,
SHAREINDIA,104,
ROUTE,128,
ANDHRSUGAR,136,
GODREJAGRO,144,
APCOTEXIND,154,
APOLLOHOSP,157,
APOLLOTYRE,163,
ANDHRAPAP,166,
TCPLPACK,184,
ARVIND,193,
MASFIN,199,
UNIDT,201,
ASHIMASYN,206,
ASHOKLEY,212,
IEX,220,
ASIANPAINT,236,
NIRAJ,255,
ATUL,263,
CHEMCON,270,
AUROPHARMA,275,
GICRE,277,
AUTOAXLES,278,
BAJAJHLDNG,305,
BAJAJHIND,308,
TIINDIA,312,
BAJFINANCE,317,
ANGELONE,324,
VALIANTORG,330,
BALKRISIND,335,
BALMLAWRIE,338,
BALRAMCHIN,341,
CAMS,342,
BANARBEADS,347,
BANARISUG,350,
NAM-INDIA,357,
ROML,359,
BASF,368,
BATAINDIA,371,
BBTC,380,
SINTERCOM,381,
BEL,383,
MAHLOG,385,
BEML,395,
NIACL,399,
BERGEPAINT,404,
BEPL,419,
BHARATFORG,422,
BHARATGEAR,426,
IFGLEXPOR,436,
BHEL,438,
5PAISA,445,
HDFCLIFE,467,
OSWALGREEN,471,
3MINDIA,474,
BIRLACABLE,477,
BIRLACORPN,480,
ICEMAKE,489,
BLUEDART,495,
MAZDOCK,509,
BOMDYEING,513,
ICICIB22,522,
BPCL,526,
UTIAMC,527,
BRITANNIA,547,
RELINFRA,553,
BSL,559,
LIKHITHA,578,
CANFINHOME,583,
GRAPHITE,592,
CARBORUNIV,595,
CENTENKA,619,
CENTURYTEX,625,
CESC,628,
IGARASHI,634,
CHAMBLFERT,637,
EXIDEIND,676,
CHOLAFIN,685,
CIPLA,694,
HEMIPROP,701,
DICIND,703,
SHALBY,714,
HEUBACHIND,715,
SBIETFPB,722,
TATACOFFEE,724,
COROMANDEL,739,
SBIETFIT,740,
COSMOFIRST,742,
CRISIL,757,
CGPOWER,760,
DABUR,772,
DALMIASUG,781,
SHIVATEX,804,
DCM,805,
BSHSL,809,
DCMSHRIRAM,811,
DCW,817,
BANKA,822,
DEEPAKFERT,827,
DHAMPURSUG,857,
DRREDDY,881,
KHAICHEM,896,
EICHERMOT,910,
EQUITASBNK,913,
EIDPARRY,916,
EIHOTEL,919,
ORCHPHARMA,926,
ELECTCAST,928,
DPABHUSHAN,936,
ELGIEQUIP,937,
PGHL,940,
ESABINDIA,955,
ESCORTS,958,
SUBEXLTD,967,
EPL,981,
EVERESTIND,993,
FACT,1008,
SCHAEFFLER,1011,
FEDERALBNK,1023,
AARON,1030,
FINCABLES,1038,
FINPIPE,1041,
AXISBNKETF,1044,
UFLEX,1053,
FOSECOIND,1073,
ZENSARTECH,1076,
GABRIEL,1085,
GARFIBRES,1100,
GHCL,1127,
GICHSGFIN,1139,
GINNIFILA,1142,
SDL24BEES,1143,
GIPCL,1145,
GLAXO,1153,
GLFL,1156,
GMBREW,1168,
GNFC,1174,
GODFRYPHLP,1181,
AMBER,1185,
GLAND,1186,
FMGOETZE,1190,
KANSAINER,1196,
ESG,1200,
GRASIM,1232,
GREAVESCOT,1235,
GSFC,1247,
CASTROLIND,1250,
GUJALKALI,1267,
AMBUJACEM,1270,
GFLLIMITED,1289,
GALAXYSURF,1315,
HCL-INSYS,1327,
HDFCBANK,1333,
HEG,1336,
SDBL,1338,
HEROMOTOCO,1348,
HIMATSEIDE,1360,
HINDALCO,1363,
HINDCOMPOS,1372,
HCC,1375,
HINDUNILVR,1394,
HINDOILEXP,1403,
HINDPETRO,1406,
AGI,1412,
GLOBAL,1415,
HINDZINC,1424,
SANOFI,1442,
HLVLTD,1448,
HIL,1455,
AKZOINDIA,1467,
IDBI,1476,
REPL,1480,
IFBAGRO,1482,
IFBIND,1485,
IFCI,1491,
RBA,1494,
SHIVAMILLS,1497,
MOGSEC,1507,
ASTERDM,1508,
INDHOTEL,1512,
INDIACEM,1515,
INDIAGLYCO,1521,
INDIANHUME,1530,
RKEC,1547,
GMMPFAUDLR,1570,
GILLETTE,1576,
TARC,1581,
MGEL,1593,
INFY,1594,
INGERRAND,1597,
FAIRCHEMOR,1614,
TATAINVEST,1621,
IOC,1624,
LINDEINDIA,1627,
BECTORFOOD,1628,
IONEXCHANG,1630,
IPCALAB,1633,
ITC,1660,
ATFL,1663,
HGINFRA,1672,
